name,E,Y,smr,Hispanic,White,African_american,Poverty,Bachelor_Degree,Unemployment,average_age,pop,smoking
Anderson,204.43191000000002,256,1.147982063,0.1802,0.7468,0.2183,0.198,0.106,0.036000000000000004,39.4,580657,0.22
Andrews,58.73619017,75,1.171875,0.5656,0.9420000000000001,0.0192,0.102,0.122,0.031,31.5,166831,0.17
Angelina,307.3983022,375,1.119402985,0.2241,0.8123999999999999,0.1549,0.156,0.16899999999999998,0.051,37.5,873117,0.2
Aransas,84.79570743,99,1.076086957,0.2747,0.9318000000000001,0.017,0.187,0.21899999999999997,0.068,51.2,240849,0.2
Archer,31.1652364,28,0.8235294120000001,0.0824,0.9526,0.011699999999999999,0.10300000000000001,0.239,0.034,44.1,88520,0.18
Armstrong,6.71432697,11,1.571428571,0.0814,0.9638,0.0106,0.106,0.228,0.025,44.7,19071,0.17
Atascosa,166.40447719999997,183,1.011049724,0.6478,0.956,0.0126,0.147,0.14400000000000002,0.042,35.7,472646,0.17
Austin,102.2013441,122,1.099099099,0.2736,0.8752,0.0925,0.111,0.239,0.043,41.3,290287,0.17
Bailey,25.03428942,23,0.851851852,0.6392,0.9242,0.0212,0.159,0.172,0.043,33.6,71106,0.18
Bandera,74.4416808,60,0.740740741,0.1935,0.9545999999999999,0.010700000000000001,0.129,0.228,0.036000000000000004,53.2,211440,0.18
Bastrop,277.0012825,293,0.970198675,0.386,0.8754000000000001,0.0738,0.14,0.207,0.035,38.2,786779,0.18
Baylor,12.76324164,15,1.071428571,0.1383,0.9353,0.0291,0.159,0.228,0.034,43.6,36252,0.19
Bee,114.347407,130,1.04,0.5921,0.8824,0.0889,0.24,0.08900000000000001,0.064,35.2,324786,0.2
Bell,1159.329191,1307,1.035657686,0.2531,0.6598999999999999,0.2426,0.138,0.252,0.042,31.5,3292894,0.18
Bexar,6479.531486999999,6957,0.986109142,0.6049,0.8441,0.0855,0.152,0.28,0.035,34.0,18404100,0.15
Blanco,38.40168318,36,0.857142857,0.1954,0.9462999999999999,0.015300000000000001,0.086,0.265,0.027000000000000003,50.1,109074,0.17
Borden,2.2708515,6,3.0,0.1855,0.9521,0.009300000000000001,0.106,0.395,0.035,49.1,6450,0.14
Bosque,63.77677636,74,1.072463768,0.18969999999999998,0.9486,0.021,0.13699999999999998,0.198,0.04,46.9,181148,0.2
Bowie,328.72635069999995,376,1.05027933,0.07730000000000001,0.6990000000000001,0.2534,0.168,0.20600000000000002,0.045,38.3,933696,0.2
Brazoria,1185.456657,1384,1.07203718,0.3115,0.7544,0.1467,0.086,0.3,0.053,36.1,3367105,0.15
Brazos,734.0240537000001,788,0.9862327909999999,0.2594,0.7979999999999999,0.1108,0.2,0.41700000000000004,0.031,27.3,2084881,0.16
Brewster,32.49570893,25,0.7142857140000001,0.4493,0.9257,0.0163,0.131,0.4,0.035,44.1,92299,0.15
Briscoe,5.50813515,10,1.6666666669999999,0.2526,0.9319,0.035699999999999996,0.15,0.198,0.043,46.1,15645,0.19
Brooks,25.37896595,49,1.75,0.9159,0.9666,0.01,0.29600000000000004,0.157,0.08199999999999999,35.4,72085,0.19
Brown,133.3405273,167,1.151724138,0.2259,0.9248999999999999,0.04,0.13699999999999998,0.191,0.038,41.4,378733,0.19
Burleson,61.84179964,77,1.149253731,0.207,0.8384999999999999,0.1284,0.138,0.17300000000000001,0.040999999999999995,44.0,175652,0.2
Burnet,156.4155472,160,0.9411764709999999,0.2241,0.9423999999999999,0.0208,0.105,0.254,0.032,44.8,444274,0.18
Caldwell,140.59598590000002,145,0.947712418,0.5301,0.8905,0.065,0.14400000000000002,0.146,0.039,36.5,399341,0.19
Calhoun,76.19041249,94,1.13253012,0.4936,0.892,0.0313,0.147,0.142,0.057999999999999996,39.1,216407,0.18
Callahan,48.02551663,61,1.173076923,0.0989,0.9493,0.016399999999999998,0.121,0.21,0.037000000000000005,43.6,136409,0.2
Cameron,1465.94977,1578,0.988721805,0.8981,0.9711,0.008100000000000001,0.255,0.17300000000000001,0.069,32.3,4163802,0.18
Camp,44.43299435,49,1.020833333,0.2541,0.7856000000000001,0.16690000000000002,0.166,0.19399999999999998,0.055999999999999994,38.3,126205,0.2
Carson,21.42592399,17,0.739130435,0.1032,0.9464,0.0087,0.085,0.284,0.032,41.9,60857,0.16
Cass,106.22867279999998,143,1.2327586209999999,0.04650000000000001,0.8028,0.1691,0.17300000000000001,0.16399999999999998,0.06,44.5,301726,0.22
Castro,27.95294972,30,1.0,0.6504000000000001,0.9375,0.0271,0.153,0.156,0.033,35.0,79396,0.18
Chambers,134.0263597,157,1.075342466,0.22920000000000001,0.8771,0.083,0.086,0.22699999999999998,0.065,35.1,380681,0.18
Cherokee,181.10480800000002,207,1.050761421,0.2351,0.8117,0.1461,0.165,0.172,0.045,38.2,514400,0.21
Childress,25.13991042,29,1.074074074,0.3152,0.8576999999999999,0.11109999999999999,0.21899999999999997,0.183,0.03,33.6,71406,0.21
Clay,37.01910429,49,1.225,0.0659,0.9506999999999999,0.009000000000000001,0.115,0.214,0.036000000000000004,47.4,105147,0.19
Cochran,10.51527469,15,1.363636364,0.597,0.9081999999999999,0.0438,0.195,0.08,0.046,36.5,29867,0.21
Coke,11.49543757,14,1.076923077,0.21489999999999998,0.9466,0.0089,0.131,0.17800000000000002,0.037000000000000005,47.0,32651,0.19
Coleman,30.14951445,35,1.0606060609999999,0.1745,0.9236,0.0318,0.177,0.158,0.044000000000000004,48.8,85635,0.21
Collin,3092.190674,2802,0.832194832,0.154,0.7014,0.10460000000000001,0.061,0.523,0.034,37.2,8782886,0.12
Collingsworth,10.66314409,15,1.25,0.34020000000000006,0.8817,0.0608,0.198,0.20199999999999999,0.036000000000000004,38.5,30287,0.2
Colorado,73.58896726,112,1.4,0.3028,0.8371,0.1263,0.136,0.21,0.038,43.1,209018,0.19
Comal,435.37187439999997,425,0.8966244729999999,0.2762,0.932,0.0254,0.067,0.368,0.034,41.7,1236606,0.15
Comanche,48.05227395,70,1.346153846,0.2836,0.9555,0.010700000000000001,0.135,0.203,0.037000000000000005,45.5,136485,0.19
Concho,14.67850244,15,0.9375,0.34700000000000003,0.9411,0.022000000000000002,0.151,0.13,0.042,48.8,41692,0.19
Cooke,137.4386221,162,1.08,0.18600000000000003,0.9218000000000001,0.0339,0.127,0.209,0.036000000000000004,40.0,390373,0.19
Coryell,267.2852067,292,1.003436426,0.1862,0.7364,0.17670000000000002,0.11800000000000001,0.161,0.043,32.2,759182,0.2
Cottle,5.10325465,9,1.5,0.24960000000000002,0.8618000000000001,0.1093,0.18899999999999997,0.168,0.043,44.6,14495,0.23
Crane,16.37724019,16,0.8888888890000001,0.6524,0.922,0.0366,0.096,0.147,0.053,34.1,46517,0.16
Crockett,12.95335944,15,1.071428571,0.6627,0.9392,0.016,0.138,0.14,0.040999999999999995,39.4,36792,0.16
Crosby,20.90838109,26,1.1304347829999999,0.5605,0.9257,0.039,0.221,0.132,0.040999999999999995,38.6,59387,0.2
Culberson,8.10042656,12,1.333333333,0.7232999999999999,0.9139,0.0105,0.19699999999999998,0.102,0.036000000000000004,41.9,23008,0.22
Dallam,24.859662699999998,34,1.259259259,0.4671,0.9259000000000001,0.0241,0.114,0.158,0.021,31.6,70610,0.19
Dallas,8801.94223,9800,1.022537563,0.4047,0.6672,0.2352,0.14,0.315,0.038,33.7,25000546,0.16
Dawson,46.81369169,80,1.568627451,0.5792,0.8981999999999999,0.060700000000000004,0.20600000000000002,0.142,0.049,33.7,132967,0.22
Deaf Smith,67.29536394,63,0.863013699,0.7332,0.9439,0.021099999999999997,0.17,0.12,0.031,31.4,191142,0.17
Delta,18.30869621,29,1.45,0.08650000000000001,0.8732,0.0658,0.16,0.251,0.033,42.1,52003,0.21
Denton,2631.426807,2474,0.863525305,0.19440000000000002,0.7633,0.10640000000000001,0.065,0.451,0.033,36.1,7474158,0.13
DeWitt,71.54801747,111,1.4230769230000002,0.3568,0.8795999999999999,0.09369999999999999,0.171,0.126,0.044000000000000004,41.8,203221,0.2
Dickens,8.08599169,12,1.333333333,0.3151,0.8837,0.059500000000000004,0.19399999999999998,0.185,0.047,43.4,22967,0.2
Dimmit,36.85996865,40,1.0,0.8718,0.9590000000000001,0.0159,0.253,0.136,0.051,34.9,104695,0.19
Donley,12.403426099999999,19,1.357142857,0.1173,0.9109999999999999,0.0576,0.16399999999999998,0.179,0.036000000000000004,43.2,35230,0.2
Duval,40.62465316,46,1.045454545,0.8931999999999999,0.9647,0.0144,0.239,0.09,0.077,36.5,115388,0.19
Eastland,64.69919976,92,1.3142857140000002,0.16649999999999998,0.9438,0.0217,0.16699999999999998,0.16,0.043,42.4,183768,0.22
Ector,527.9659324,726,1.262608696,0.6152000000000001,0.9037999999999999,0.051699999999999996,0.121,0.154,0.040999999999999995,30.6,1499605,0.17
Edwards,6.85691532,11,1.571428571,0.5571,0.9497,0.011000000000000001,0.207,0.182,0.032,48.7,19476,0.18
El Paso,2909.351921,2967,0.93655303,0.8284,0.9194,0.039599999999999996,0.087,0.233,0.046,36.4,8263561,0.15
Ellis,564.7449249,706,1.14796748,0.2656,0.8486,0.1139,0.188,0.243,0.034,32.7,1604070,0.17
Erath,141.2371053,155,1.006493506,0.2144,0.9414,0.0194,0.152,0.315,0.034,31.6,401162,0.19
Falls,61.55134189,70,1.044776119,0.2341,0.7173999999999999,0.24280000000000002,0.21600000000000003,0.124,0.042,39.6,174827,0.22
Fannin,119.5788152,153,1.176923077,0.1161,0.8901,0.0652,0.132,0.174,0.033,41.1,339645,0.21
Fayette,87.49326777,99,1.042105263,0.213,0.9041,0.06559999999999999,0.109,0.19699999999999998,0.032,47.9,248511,0.19
Fisher,13.7624163,14,0.933333333,0.285,0.9186,0.0416,0.133,0.18600000000000003,0.035,45.8,39090,0.18
Floyd,21.55935852,32,1.391304348,0.5898,0.9227,0.0417,0.17300000000000001,0.159,0.055,38.1,61236,0.19
Foard,4.48396352,9,1.8,0.1898,0.9236,0.047,0.17,0.162,0.034,50.2,12736,0.2
Fort Bend,2372.648316,2359,0.913279133,0.24710000000000001,0.5524,0.21109999999999998,0.066,0.462,0.046,36.8,6739138,0.12
Franklin,37.4672894,50,1.219512195,0.14800000000000002,0.9217,0.0397,0.14400000000000002,0.266,0.046,43.4,106420,0.18
Freestone,69.27434941,69,0.92,0.15810000000000002,0.7987000000000001,0.1582,0.155,0.153,0.063,42.1,196763,0.21
Frio,65.19421018,77,1.084507042,0.7959,0.9124,0.0412,0.27699999999999997,0.073,0.038,31.7,185174,0.19
Gaines,67.38831042,58,0.7945205479999999,0.4163,0.9501000000000001,0.0225,0.132,0.114,0.03,28.3,191406,0.21
Galveston,1097.962685,1169,0.978242678,0.2498,0.8029999999999999,0.13269999999999998,0.113,0.311,0.052000000000000005,38.1,3118592,0.18
Garza,22.79934906,23,0.92,0.5156000000000001,0.8908,0.0748,0.242,0.139,0.033,34.6,64758,0.2
Gillespie,90.18906776,81,0.826530612,0.235,0.9652,0.0067,0.085,0.322,0.026000000000000002,50.3,256168,0.16
Glasscock,4.59873834,9,1.8,0.38530000000000003,0.9712000000000001,0.0158,0.079,0.272,0.026000000000000002,36.9,13062,0.18
Goliad,26.060221399999996,26,0.9285714290000001,0.3615,0.919,0.0521,0.134,0.17300000000000001,0.049,46.2,74020,0.18
Gonzales,71.33501512,72,0.923076923,0.5125,0.8902,0.073,0.162,0.131,0.035,37.2,202616,0.19
Gray,79.98396674,107,1.229885057,0.2925,0.9018,0.053899999999999997,0.145,0.139,0.053,37.7,227182,0.21
Grayson,439.92519569999996,600,1.252609603,0.138,0.8759,0.062400000000000004,0.11599999999999999,0.204,0.035,39.4,1249539,0.19
Gregg,432.94223939999995,580,1.231422505,0.1895,0.7454000000000001,0.20879999999999999,0.165,0.213,0.051,36.0,1229705,0.2
Grimes,95.52292826,100,0.961538462,0.2438,0.8101,0.15560000000000002,0.159,0.157,0.053,40.3,271318,0.21
Guadalupe,512.2343885,591,1.059139785,0.3824,0.8556,0.0859,0.07400000000000001,0.282,0.033,37.4,1454922,0.15
Hale,123.6061439,168,1.244444444,0.5988,0.9035,0.0576,0.179,0.171,0.051,33.4,351084,0.18
Hall,11.20181119,16,1.333333333,0.3421,0.8691,0.0932,0.254,0.159,0.062,45.2,31817,0.24
Hamilton,29.29750505,30,0.9375,0.13019999999999998,0.9493,0.0097,0.14300000000000002,0.22399999999999998,0.039,45.4,83215,0.21
Hansford,19.55960092,20,0.9523809520000001,0.4826,0.955,0.0097,0.11699999999999999,0.151,0.025,34.0,55556,0.21
Hardeman,14.19863103,15,1.0,0.23920000000000002,0.8981999999999999,0.058499999999999996,0.192,0.13699999999999998,0.039,43.7,40329,0.21
Hardin,195.88646699999998,253,1.1877934270000001,0.058499999999999996,0.9167000000000001,0.0558,0.121,0.168,0.061,39.1,556385,0.21
Harris,15475.04532,17098,1.014778325,0.4335,0.6969,0.1989,0.15,0.315,0.05,34.0,43954456,0.16
Harrison,233.45198390000002,263,1.035433071,0.1334,0.7505,0.21100000000000002,0.17800000000000002,0.191,0.052000000000000005,38.6,663084,0.21
Hartley,20.76720102,20,0.869565217,0.272,0.9029,0.0702,0.086,0.17800000000000002,0.02,40.3,58986,0.17
Haskell,20.60454468,24,1.0909090909999999,0.2883,0.9091,0.047400000000000005,0.207,0.11900000000000001,0.047,43.2,58524,0.23
Hays,647.9542048999999,652,0.924822695,0.3956,0.9015000000000001,0.045,0.11199999999999999,0.37200000000000005,0.031,32.8,1840413,0.15
Hemphill,14.11871114,15,1.0,0.3394,0.9493,0.0083,0.091,0.212,0.025,36.4,40102,0.19
Henderson,280.0833033,372,1.219672131,0.13119999999999998,0.8984000000000001,0.0646,0.175,0.17300000000000001,0.042,44.3,795533,0.22
Hidalgo,2889.641282,2741,0.871265099,0.9234,0.9701000000000001,0.0088,0.26899999999999996,0.187,0.07400000000000001,29.7,8207576,0.15
Hill,124.0536249,165,1.222222222,0.2104,0.8963,0.0677,0.131,0.174,0.039,41.6,352355,0.2
Hockley,81.38626155,99,1.112359551,0.4858,0.9275,0.0401,0.155,0.158,0.037000000000000005,34.6,231165,0.19
Hood,191.23245359999999,201,0.966346154,0.12619999999999998,0.9554,0.0109,0.092,0.264,0.042,46.4,543166,0.18
Hopkins,125.7565874,169,1.233576642,0.17190000000000003,0.8878,0.0741,0.147,0.201,0.036000000000000004,39.6,357192,0.21
Houston,81.5253292,92,1.033707865,0.1137,0.7170000000000001,0.2547,0.209,0.152,0.042,44.6,231560,0.24
Howard,126.73534199999999,168,1.217391304,0.4305,0.8823000000000001,0.0702,0.17,0.126,0.043,36.8,359972,0.19
Hudspeth,13.20051258,15,1.071428571,0.7797,0.9064,0.0368,0.28,0.107,0.06,35.8,37494,0.21
Hunt,314.6002461,410,1.195335277,0.16879999999999998,0.8648,0.0833,0.14800000000000002,0.19899999999999998,0.039,38.0,893573,0.21
Hutchinson,76.82695505,88,1.047619048,0.237,0.9168999999999999,0.0296,0.114,0.14,0.06,38.1,218215,0.2
Irion,5.52080967,10,1.6666666669999999,0.2586,0.9558,0.0125,0.07400000000000001,0.15,0.03,43.3,15681,0.17
Jack,31.42435992,46,1.3529411759999999,0.1718,0.93,0.0405,0.156,0.135,0.037000000000000005,38.3,89256,0.22
Jackson,51.12584505,66,1.178571429,0.3373,0.8952,0.06570000000000001,0.138,0.165,0.04,38.2,145215,0.18
Jasper,125.4390203,189,1.379562044,0.0684,0.8104,0.16010000000000002,0.195,0.129,0.07400000000000001,41.6,356290,0.23
Jeff Davis,7.9743854999999995,12,1.333333333,0.32630000000000003,0.9367,0.0143,0.127,0.305,0.031,58.7,22650,0.15
Jefferson,893.5592931,1094,1.124357657,0.214,0.5909,0.3414,0.16899999999999998,0.19699999999999998,0.073,36.5,2538016,0.2
Jim Hogg,18.58788772,28,1.4,0.9268000000000001,0.9727,0.008100000000000001,0.228,0.134,0.07200000000000001,34.4,52796,0.17
Jim Wells,145.057769,197,1.246835443,0.8038,0.9652,0.0098,0.21,0.122,0.075,35.4,412014,0.17
Johnson,555.9970416,640,1.05785124,0.2195,0.9173,0.0385,0.11,0.187,0.038,36.8,1579223,0.19
Jones,70.39850892,82,1.064935065,0.2768,0.8289,0.13390000000000002,0.204,0.11699999999999999,0.053,38.6,199956,0.21
