County,Hispanic,White,African_american,Asian,Poverty,Bachelor_Degree,Unemployment,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,average_age,Ageadjustedcase,expected_count,smr
Anderson,18.02,74.68,21.83,0.92,0.198,10.6,3.6,580657,285.0,49.1,44.1,39.4,256.0,223.0,1.147982062780269
Andrews,56.56,94.2,1.92,0.79,0.102,12.2,3.1,166831,67.0,40.2,44.7,31.5,75.0,64.0,1.171875
Angelina,22.41,81.24,15.49,1.06,0.156,16.9,5.1,873117,424.0,48.6,42.9,37.5,375.0,335.0,1.1194029850746268
Aransas,27.47,93.18,1.7,1.96,0.187,21.9,6.8,240849,168.0,69.8,41.0,51.2,99.0,92.0,1.076086956521739
Archer,8.24,95.26,1.17,0.51,0.10300000000000001,23.9,3.4,88520,37.0,41.8,31.5,44.1,28.0,34.0,0.8235294117647058
Armstrong,8.14,96.38,1.06,0.21,0.106,22.8,2.5,19071,NA,NA,NA,44.7,NA,7.0,NA
Atascosa,64.78,95.6,1.26,0.61,0.147,14.4,4.2,472646,201.0,42.5,38.8,35.7,183.0,181.0,1.011049723756906
Austin,27.36,87.52,9.25,0.81,0.111,23.9,4.3,290287,160.0,55.1,41.9,41.3,122.0,111.0,1.0990990990990992
Bailey,63.92,92.42,2.12,0.88,0.159,17.2,4.3,71106,25.0,35.2,32.1,33.6,23.0,27.0,0.8518518518518519
Bandera,19.35,95.46,1.07,0.55,0.129,22.8,3.6,211440,100.0,47.3,28.2,53.2,60.0,81.0,0.7407407407407407
Bastrop,38.6,87.54,7.38,0.92,0.14,20.7,3.5,786779,328.0,41.7,37.3,38.2,293.0,302.0,0.9701986754966887
Baylor,13.83,93.53,2.91,0.48,0.159,22.8,3.4,36252,26.0,71.7,41.4,43.6,15.0,14.0,1.0714285714285714
Bee,59.21,88.24,8.89,0.65,0.24,8.9,6.4,324786,122.0,37.6,40.1,35.2,130.0,125.0,1.04
Bell,25.31,65.99,24.26,3.21,0.138,25.2,4.2,3292894,1092.0,33.2,39.7,31.5,1307.0,1262.0,1.0356576862123614
Bexar,60.49,84.41,8.55,3.21,0.152,28.0,3.5,18404100,6524.0,35.5,37.8,34.0,6957.0,7055.0,0.9861091424521616
Blanco,19.54,94.63,1.53,0.99,0.086,26.5,2.7,109074,60.0,55.0,33.0,50.1,36.0,42.0,0.8571428571428571
Borden,18.55,95.21,0.93,0.15,0.106,39.5,3.5,6450,NA,NA,NA,49.1,NA,2.0,NA
Bosque,18.97,94.86,2.1,0.59,0.13699999999999998,19.8,4.0,181148,109.0,60.2,41.0,46.9,74.0,69.0,1.0724637681159421
Bowie,7.73,69.9,25.34,1.2,0.168,20.6,4.5,933696,447.0,47.9,40.3,38.3,376.0,358.0,1.0502793296089385
Brazoria,31.15,75.44,14.67,6.88,0.086,30.0,5.3,3367105,1304.0,38.7,41.1,36.1,1384.0,1291.0,1.0720371804802478
Brazos,25.94,79.8,11.08,6.27,0.2,41.7,3.1,2084881,550.0,26.4,37.8,27.3,788.0,799.0,0.986232790988736
Brewster,44.93,92.57,1.63,1.61,0.131,40.0,3.5,92299,37.0,40.1,27.2,44.1,25.0,35.0,0.7142857142857143
Briscoe,25.26,93.19,3.57,0.26,0.15,19.8,4.3,15645,NA,NA,NA,46.1,NA,6.0,NA
Brooks,91.59,96.66,1.0,1.13,0.29600000000000004,15.7,8.2,72085,65.0,90.2,68.1,35.4,49.0,28.0,1.75
Brown,22.59,92.49,4.0,0.81,0.13699999999999998,19.1,3.8,378733,221.0,58.4,44.2,41.4,167.0,145.0,1.1517241379310346
Burleson,20.7,83.85,12.84,0.4,0.138,17.3,4.1,175652,111.0,63.2,43.8,44.0,77.0,67.0,1.1492537313432836
Burnet,22.41,94.24,2.08,0.9,0.105,25.4,3.2,444274,240.0,54.0,36.0,44.8,160.0,170.0,0.9411764705882353
Caldwell,53.01,89.05,6.5,0.98,0.14400000000000002,14.6,3.9,399341,156.0,39.1,36.2,36.5,145.0,153.0,0.9477124183006536
Calhoun,49.36,89.2,3.13,5.41,0.147,14.2,5.8,216407,112.0,51.8,43.4,39.1,94.0,83.0,1.1325301204819278
Callahan,9.89,94.93,1.64,0.69,0.121,21.0,3.7,136409,85.0,62.3,44.5,43.6,61.0,52.0,1.1730769230769231
Cameron,89.81,97.11,0.81,0.79,0.255,17.3,6.9,4163802,1511.0,36.3,37.9,32.3,1578.0,1596.0,0.9887218045112782
Camp,25.41,78.56,16.69,0.97,0.166,19.4,5.6,126205,62.0,49.1,39.1,38.3,49.0,48.0,1.0208333333333333
Carson,10.32,94.64,0.87,0.6,0.085,28.4,3.2,60857,21.0,34.5,27.4,41.9,17.0,23.0,0.7391304347826086
Cass,4.65,80.28,16.91,0.45,0.17300000000000001,16.4,6.0,301726,200.0,66.3,47.4,44.5,143.0,116.0,1.2327586206896552
Castro,65.04,93.75,2.71,0.71,0.153,15.6,3.3,79396,34.0,42.8,37.6,35.0,30.0,30.0,1.0
Chambers,22.92,87.71,8.3,1.28,0.086,22.7,6.5,380681,153.0,40.2,41.3,35.1,157.0,146.0,1.0753424657534247
Cherokee,23.51,81.17,14.61,0.56,0.165,17.2,4.5,514400,256.0,49.8,40.3,38.2,207.0,197.0,1.0507614213197969
Childress,31.52,85.77,11.11,0.67,0.21899999999999997,18.3,3.0,71406,31.0,43.4,40.4,33.6,29.0,27.0,1.0740740740740742
Clay,6.59,95.07,0.9,0.49,0.115,21.4,3.6,105147,67.0,63.7,46.4,47.4,49.0,40.0,1.225
Cochran,59.7,90.82,4.38,0.46,0.195,8.0,4.6,29867,18.0,60.3,50.2,36.5,15.0,11.0,1.3636363636363635
Coke,21.49,94.66,0.89,0.15,0.131,17.8,3.7,32651,24.0,73.5,42.8,47.0,14.0,13.0,1.0769230769230769
Coleman,17.45,92.36,3.18,1.0,0.177,15.8,4.4,85635,54.0,63.1,40.9,48.8,35.0,33.0,1.0606060606060606
Collin,15.4,70.14,10.46,15.87,0.061,52.3,3.4,8782886,2490.0,28.4,31.9,37.2,2802.0,3367.0,0.8321948321948321
Collingsworth,34.02,88.17,6.08,0.51,0.198,20.2,3.6,30287,NA,NA,NA,38.5,NA,12.0,NA
Colorado,30.28,83.71,12.63,0.72,0.136,21.0,3.8,209018,161.0,77.0,53.6,43.1,112.0,80.0,1.4
Comal,27.62,93.2,2.54,1.37,0.067,36.8,3.4,1236606,537.0,43.4,34.4,41.7,425.0,474.0,0.8966244725738397
Comanche,28.36,95.55,1.07,0.68,0.135,20.3,3.7,136485,108.0,79.1,51.1,45.5,70.0,52.0,1.3461538461538463
Concho,34.7,94.11,2.2,1.64,0.151,13.0,4.2,41692,NA,NA,NA,48.8,NA,16.0,NA
Cooke,18.6,92.18,3.39,1.08,0.127,20.9,3.6,390373,207.0,53.0,41.6,40.0,162.0,150.0,1.08
Coryell,18.62,73.64,17.67,2.12,0.11800000000000001,16.1,4.3,759182,222.0,29.2,38.4,32.2,292.0,291.0,1.0034364261168385
Cottle,24.96,86.18,10.93,0.07,0.18899999999999997,16.8,4.3,14495,NA,NA,NA,44.6,NA,6.0,NA
Crane,65.24,92.2,3.66,0.97,0.096,14.7,5.3,46517,16.0,34.4,34.2,34.1,16.0,18.0,0.8888888888888888
Crockett,66.27,93.92,1.6,0.76,0.138,14.0,4.1,36792,NA,NA,NA,39.4,NA,14.0,NA
Crosby,56.05,92.57,3.9,0.26,0.221,13.2,4.1,59387,32.0,53.9,43.3,38.6,26.0,23.0,1.1304347826086956
Culberson,72.33,91.39,1.05,2.01,0.19699999999999998,10.2,3.6,23008,NA,NA,NA,41.9,NA,9.0,NA
Dallam,46.71,92.59,2.41,1.08,0.114,15.8,2.1,70610,28.0,39.6,47.6,31.6,34.0,27.0,1.2592592592592593
Dallas,40.47,66.72,23.52,6.64,0.14,31.5,3.8,25000546,8616.0,34.5,39.2,33.7,9800.0,9584.0,1.0225375626043405
Dawson,57.92,89.82,6.07,1.27,0.20600000000000002,14.2,4.9,132967,84.0,63.2,59.8,33.7,80.0,51.0,1.5686274509803921
Deaf Smith,73.32,94.39,2.11,0.61,0.17,12.0,3.1,191142,61.0,31.9,33.0,31.4,63.0,73.0,0.863013698630137
Delta,8.65,87.32,6.58,0.66,0.16,25.1,3.3,52003,44.0,84.6,55.5,42.1,29.0,20.0,1.45
Denton,19.44,76.33,10.64,9.41,0.065,45.1,3.3,7474158,2019.0,27.0,33.1,36.1,2474.0,2865.0,0.8635253054101222
DeWitt,35.68,87.96,9.37,0.36,0.171,12.6,4.4,203221,152.0,74.8,54.6,41.8,111.0,78.0,1.4230769230769231
Dickens,31.51,88.37,5.95,1.31,0.19399999999999998,18.5,4.7,22967,NA,NA,NA,43.4,NA,9.0,NA
Dimmit,87.18,95.9,1.59,0.75,0.253,13.6,5.1,104695,42.0,40.1,38.2,34.9,40.0,40.0,1.0
Donley,11.73,91.1,5.76,0.75,0.16399999999999998,17.9,3.6,35230,26.0,73.8,54.6,43.2,19.0,14.0,1.3571428571428572
Duval,89.32,96.47,1.44,0.48,0.239,9.0,7.7,115388,57.0,49.4,39.8,36.5,46.0,44.0,1.0454545454545454
Eastland,16.65,94.38,2.17,0.69,0.16699999999999998,16.0,4.3,183768,130.0,70.7,50.0,42.4,92.0,70.0,1.3142857142857143
Ector,61.52,90.38,5.17,1.24,0.121,15.4,4.1,1499605,622.0,41.5,48.4,30.6,726.0,575.0,1.2626086956521738
Edwards,55.71,94.97,1.1,0.73,0.207,18.2,3.2,19476,NA,NA,NA,48.7,NA,7.0,NA
El Paso,82.84,91.94,3.96,1.35,0.087,23.3,4.6,8263561,2750.0,33.3,35.9,36.4,2967.0,3168.0,0.9365530303030303
Ellis,26.56,84.86,11.39,0.81,0.188,24.3,3.4,1604070,683.0,42.6,44.0,32.7,706.0,615.0,1.1479674796747967
Erath,21.44,94.14,1.94,1.01,0.152,31.5,3.4,401162,154.0,38.4,38.6,31.6,155.0,154.0,1.0064935064935066
Falls,23.41,71.74,24.28,0.63,0.21600000000000005,12.4,4.2,174827,91.0,52.0,40.1,39.6,70.0,67.0,1.044776119402985
Fannin,11.61,89.01,6.52,0.75,0.132,17.4,3.3,339645,199.0,58.6,45.0,41.1,153.0,130.0,1.176923076923077
Fayette,21.3,90.41,6.56,0.48,0.109,19.7,3.2,248511,161.0,64.8,39.7,47.9,99.0,95.0,1.0421052631578946
Fisher,28.5,91.86,4.16,0.55,0.133,18.6,3.5,39090,22.0,56.3,36.8,45.8,14.0,15.0,0.9333333333333333
Floyd,58.98,92.27,4.17,0.47,0.17300000000000001,15.9,5.5,61236,41.0,67.0,52.9,38.1,32.0,23.0,1.391304347826087
Foard,18.98,92.36,4.7,0.84,0.17,16.2,3.4,12736,NA,NA,NA,50.2,NA,5.0,NA
Fort Bend,24.71,55.24,21.11,20.71,0.066,46.2,4.6,6739138,2103.0,31.2,35.0,36.8,2359.0,2583.0,0.9132791327913279
Franklin,14.8,92.17,3.97,0.97,0.14400000000000002,26.6,4.6,106420,73.0,68.6,47.2,43.4,50.0,41.0,1.2195121951219512
Freestone,15.81,79.87,15.82,0.85,0.155,15.3,6.3,196763,92.0,46.8,35.0,42.1,69.0,75.0,0.92
Frio,79.59,91.24,4.12,2.66,0.27699999999999997,7.3,3.8,185174,72.0,38.9,41.5,31.7,77.0,71.0,1.0845070422535212
Gaines,41.63,95.01,2.25,0.43,0.132,11.4,3.0,191406,44.0,23.0,30.3,28.3,58.0,73.0,0.7945205479452054
Galveston,24.98,80.3,13.27,3.45,0.113,31.1,5.2,3118592,1270.0,40.7,37.5,38.1,1169.0,1195.0,0.9782426778242678
Garza,51.56,89.08,7.48,0.75,0.242,13.9,3.3,64758,21.0,32.4,34.9,34.6,23.0,25.0,0.92
Gillespie,23.5,96.52,0.67,0.48,0.085,32.2,2.6,256168,145.0,56.6,31.6,50.3,81.0,98.0,0.826530612244898
Glasscock,38.53,97.12,1.58,0.14,0.079,27.2,2.6,13062,NA,NA,NA,36.9,NA,5.0,NA
Goliad,36.15,91.9,5.21,0.54,0.134,17.3,4.9,74020,41.0,55.4,34.5,46.2,26.0,28.0,0.9285714285714286
Gonzales,51.25,89.02,7.3,0.55,0.162,13.1,3.5,202616,88.0,43.4,35.6,37.2,72.0,78.0,0.9230769230769231
Gray,29.25,90.18,5.39,0.68,0.145,13.9,5.3,227182,129.0,56.8,47.3,37.7,107.0,87.0,1.2298850574712643
Grayson,13.8,87.59,6.24,1.52,0.11599999999999999,20.4,3.5,1249539,750.0,60.0,48.0,39.4,600.0,479.0,1.2526096033402923
Gregg,18.95,74.54,20.88,1.38,0.165,21.3,5.1,1229705,633.0,51.5,47.2,36.0,580.0,471.0,1.2314225053078556
Grimes,24.38,81.01,15.56,0.39,0.159,15.7,5.3,271318,125.0,46.1,37.0,40.3,100.0,104.0,0.9615384615384616
Guadalupe,38.24,85.56,8.59,1.94,0.07400000000000001,28.2,3.3,1454922,609.0,41.9,40.6,37.4,591.0,558.0,1.0591397849462365
Hale,59.88,90.35,5.76,0.64,0.179,17.1,5.1,351084,171.0,48.7,47.9,33.4,168.0,135.0,1.2444444444444445
Hall,34.21,86.91,9.32,0.46,0.254,15.9,6.2,31817,27.0,84.9,51.3,45.2,16.0,12.0,1.3333333333333333
Hamilton,13.02,94.93,0.97,0.79,0.14300000000000002,22.4,3.9,83215,48.0,57.7,35.7,45.4,30.0,32.0,0.9375
Hansford,48.26,95.5,0.97,0.46,0.11699999999999999,15.1,2.5,55556,22.0,39.6,36.1,34.0,20.0,21.0,0.9523809523809523
Hardeman,23.92,89.82,5.85,0.64,0.192,13.7,3.9,40329,21.0,52.1,37.8,43.7,15.0,15.0,1.0
Hardin,5.85,91.67,5.58,0.69,0.121,16.8,6.1,556385,291.0,52.3,45.4,39.1,253.0,213.0,1.187793427230047
Harris,43.35,69.69,19.89,7.3,0.15,31.5,5.0,43954456,14563.0,33.1,38.9,34.0,17098.0,16849.0,1.0147783251231528
Harrison,13.34,75.05,21.1,0.83,0.17800000000000002,19.1,5.2,663084,310.0,46.8,39.7,38.6,263.0,254.0,1.0354330708661417
Hartley,27.2,90.29,7.02,0.84,0.086,17.8,2.0,58986,22.0,37.3,34.6,40.3,20.0,23.0,0.8695652173913043
Haskell,28.83,90.91,4.74,0.95,0.207,11.9,4.7,58524,35.0,59.8,40.3,43.2,24.0,22.0,1.0909090909090908
Hays,39.56,90.15,4.5,1.7,0.11199999999999999,37.2,3.1,1840413,544.0,29.6,35.4,32.8,652.0,705.0,0.924822695035461
Hemphill,33.94,94.93,0.83,1.25,0.091,21.2,2.5,40102,NA,NA,NA,36.4,NA,15.0,NA
Henderson,13.12,89.84,6.46,0.69,0.175,17.3,4.2,795533,541.0,68.0,46.8,44.3,372.0,305.0,1.219672131147541
Hidalgo,92.34,97.01,0.88,1.05,0.26899999999999996,18.7,7.4,8207576,2262.0,27.6,33.4,29.7,2741.0,3146.0,0.8712650985378259
Hill,21.04,89.63,6.77,0.64,0.131,17.4,3.9,352355,228.0,64.7,46.9,41.6,165.0,135.0,1.2222222222222223
Hockley,48.58,92.75,4.01,0.5,0.155,15.8,3.7,231165,104.0,45.0,42.7,34.6,99.0,89.0,1.1123595505617978
Hood,12.62,95.54,1.09,0.9,0.092,26.4,4.2,543166,304.0,56.0,37.0,46.4,201.0,208.0,0.9663461538461539
Hopkins,17.19,88.78,7.41,0.71,0.147,20.1,3.6,357192,213.0,59.6,47.3,39.6,169.0,137.0,1.2335766423357664
Houston,11.37,71.7,25.47,0.78,0.209,15.2,4.2,231560,135.0,58.3,39.6,44.6,92.0,89.0,1.0337078651685394
Howard,43.05,88.23,7.02,1.19,0.17,12.6,4.3,359972,179.0,49.7,46.6,36.8,168.0,138.0,1.2173913043478262
Hudspeth,77.97,90.64,3.68,1.5,0.28,10.7,6.0,37494,NA,NA,NA,35.8,NA,14.0,NA
Hunt,16.88,86.48,8.33,1.57,0.14800000000000002,19.9,3.9,893573,479.0,53.6,45.9,38.0,410.0,343.0,1.19533527696793
Hutchinson,23.7,91.69,2.96,0.71,0.114,14.0,6.0,218215,106.0,48.6,40.5,38.1,88.0,84.0,1.0476190476190477
Irion,25.86,95.58,1.25,0.26,0.07400000000000001,15.0,3.0,15681,NA,NA,NA,43.3,NA,6.0,NA
Jack,17.18,93.0,4.05,0.53,0.156,13.5,3.7,89256,55.0,61.6,51.9,38.3,46.0,34.0,1.3529411764705883
Jackson,33.73,89.52,6.57,1.15,0.138,16.5,4.0,145215,85.0,58.5,45.3,38.2,66.0,56.0,1.1785714285714286
Jasper,6.84,81.04,16.01,0.56,0.195,12.9,7.4,356290,247.0,69.3,53.1,41.6,189.0,137.0,1.3795620437956204
Jeff Davis,32.63,93.67,1.43,1.43,0.127,30.5,3.1,22650,NA,NA,NA,58.7,NA,9.0,NA
Jefferson,21.4,59.09,34.14,3.95,0.16899999999999998,19.7,7.3,2538016,1193.0,47.0,43.1,36.5,1094.0,973.0,1.1243576567317575
Jim Hogg,92.68,97.27,0.81,0.56,0.228,13.4,7.2,52796,33.0,62.5,52.2,34.4,28.0,20.0,1.4
Jim Wells,80.38,96.52,0.98,0.57,0.21,12.2,7.5,412014,212.0,51.5,47.9,35.4,197.0,158.0,1.2468354430379747
